channel,background,Co60_100cm,Co60_200cm,Co57_53cm,Co57_30cm,Cs137_100cm,Cs137_200cm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0
3,0.0,0.005555555555555556,0.005555555555555556,0.02,0.02,0.011111111111111112,0.0
4,0.0,0.022222222222222223,0.0,0.043333333333333335,0.13,0.044444444444444446,0.027777777777777776
5,0.02666666666666667,0.03888888888888889,0.016666666666666666,0.08,0.20666666666666667,0.19444444444444445,0.05
6,0.03666666666666667,0.15,0.07222222222222222,0.17,0.5433333333333333,0.2722222222222222,0.07222222222222222
7,0.07,0.15,0.10555555555555556,0.3466666666666667,0.9333333333333333,0.3333333333333333,0.13333333333333333
8,0.09,0.26666666666666666,0.17222222222222222,0.5333333333333333,1.2466666666666666,0.5166666666666667,0.2222222222222222
9,0.13333333333333333,0.4388888888888889,0.19444444444444445,0.8166666666666667,1.9433333333333334,1.0333333333333334,0.37222222222222223
10,0.17333333333333334,0.5388888888888889,0.3333333333333333,1.0733333333333333,2.783333333333333,1.1277777777777778,0.5111111111111111
11,0.18333333333333332,0.6611111111111111,0.45,1.52,3.5433333333333334,1.4944444444444445,0.6666666666666666
12,0.2733333333333333,0.9666666666666667,0.5111111111111111,1.9466666666666668,4.92,2.272222222222222,0.7555555555555555
13,0.29,1.1444444444444444,0.5444444444444444,2.4033333333333333,6.203333333333333,2.6777777777777776,1.1111111111111112
14,0.37666666666666665,1.3555555555555556,0.8166666666666667,3.03,7.53,3.3555555555555556,1.238888888888889
15,0.45,1.5833333333333333,0.8055555555555556,3.3733333333333335,9.45,3.9944444444444445,1.6277777777777778
16,0.51,1.9944444444444445,0.9833333333333333,4.506666666666667,11.033333333333333,5.016666666666667,1.7944444444444445
17,0.61,2.4944444444444445,0.9944444444444445,4.983333333333333,12.99,5.594444444444444,1.9333333333333333
18,0.7333333333333333,2.5722222222222224,1.3277777777777777,5.83,15.28,6.611111111111111,2.3555555555555556
19,0.7333333333333333,3.2333333333333334,1.5166666666666666,7.0,17.543333333333333,8.061111111111112,2.8722222222222222
20,0.9233333333333333,3.511111111111111,1.8722222222222222,7.546666666666667,19.29,9.4,3.327777777777778
